Category;Tipo de modelo;Variable Name;Unit of Measure;Data Type;Example;Description
identifier;;encounter_id;None;integer;None;Unique identifier associated with a patient unit stay
identifier;Todos;hospital_id;None;integer;None;Unique identifier associated with a hospital
identifier;;patient_id;None;integer;None;Unique identifier associated with a patient
demographic;Todos;hospital_death;None;binary;0;Whether the patient died during this hospitalization
demographic;Todos;age;Years;numeric;None;The age of the patient on unit admission
demographic;Todos;bmi;kilograms/metres^2;string;21.5;The body mass index of the person on unit admission
demographic;Todos;elective_surgery;None;binary;0;Whether the patient was admitted to the hospital for an elective surgical operation
demographic;Todos;ethnicity;None;string;Caucasian;The common national or cultural tradition which the person belongs to
demographic;Todos;gender;None;string;F;The genotypical sex of the patient
demographic;Todos;height;centimetres;numeric;180;The height of the person on unit admission
demographic;Todos;hospital_admit_source;None;string;Home;The location of the patient prior to being admitted to the hospital
demographic;Todos;icu_admit_source;None;string;Operating room;The location of the patient prior to being admitted to the unit
demographic;Todos;icu_admit_type;None;string;Cardiothoracic;The type of unit admission for the patient
demographic;Todos;icu_id;None;integer;None;A unique identifier for the unit to which the patient was admitted
demographic;Todos;icu_stay_type;None;string;None;
demographic;Todos;icu_type;None;string;Neurological ICU;A classification which indicates the type of care the unit is capable of providing
demographic;Todos;pre_icu_los_days;Days;numeric;3.5;The length of stay of the patient between hospital admission and unit admission
demographic;Todos;readmission_status;None;binary;0;Whether the current unit stay is the second (or greater) stay at an ICU within the same hospitalization
demographic;Todos;weight;kilograms;numeric;80;The weight (body mass) of the person on unit admission
APACHE covariate;Falla hepatica;albumin_apache;g/L;numeric;30;The albumin concentration measured during the first 24 hours which results in the highest APACHE III score
APACHE covariate;Comparar modelo;apache_2_diagnosis;None;string;308;The APACHE II diagnosis for the ICU admission
APACHE covariate;Comparar modelo;apache_3j_diagnosis;None;string;1405;The APACHE III-J sub-diagnosis code which best describes the reason for the ICU admission
APACHE covariate;Todos;apache_post_operative;None;binary;;The APACHE operative status
APACHE covariate;;arf_apache;None;binary;0;Whether the patient had acute renal failure during the first 24 hours of their unit stay, defined as a 24 hour urine output <410ml, creatinine >=133 micromol/L and no chronic dialysis
APACHE covariate;Falla hepatica;bilirubin_apache;micromol/L;numeric;20;The bilirubin concentration measured during the first 24 hours which results in the highest APACHE III score
APACHE covariate;Falla renal;bun_apache;mmol/L;numeric;None;The blood urea nitrogen concentration measured during the first 24 hours which results in the highest APACHE III score
APACHE covariate;Falla renal;creatinine_apache;micromol/L;numeric;70;The creatinine concentration measured during the first 24 hours which results in the highest APACHE III score
